Algorithm, input order, N, time in microseconds, sorted
Bubble Sort, random, 1000, 3348, true
Selection Sort, random, 1000, 769, true
Insertion Sort, random, 1000, 448, true
Shell Sort, random, 1000, 92, true
Heap Sort, random, 1000, 92, true
Merge Sort, random, 1000, 131, true
Quicksort (Original), random, 1000, 70, true
Quicksort (with median of 3 and insertion sort), random, 1000, 58, true
Introsort (STL hybrid), random, 1000, 102, true
Bubble Sort, sorted, 1000, 1, true
Selection Sort, sorted, 1000, 867, true
Insertion Sort, sorted, 1000, 4, true
Shell Sort, sorted, 1000, 33, true
Heap Sort, sorted, 1000, 98, true
Merge Sort, sorted, 1000, 106, true
Quicksort (Original), sorted, 1000, 709, true
Quicksort (with median of 3 and insertion sort), sorted, 1000, 12, true
Introsort (STL hybrid), sorted, 1000, 62, true
Bubble Sort, reverse, 1000, 1341, true
Selection Sort, reverse, 1000, 247, true
Insertion Sort, reverse, 1000, 403, true
Shell Sort, reverse, 1000, 27, true
Heap Sort, reverse, 1000, 79, true
Merge Sort, reverse, 1000, 68, true
Quicksort (Original), reverse, 1000, 254, true
Quicksort (with median of 3 and insertion sort), reverse, 1000, 9, true
Introsort (STL hybrid), reverse, 1000, 31, true
Bubble Sort, random, 1000, 1285, true
Selection Sort, random, 1000, 303, true
Insertion Sort, random, 1000, 234, true
Shell Sort, random, 1000, 85, true
Heap Sort, random, 1000, 93, true
Merge Sort, random, 1000, 90, true
Quicksort (Original), random, 1000, 58, true
Quicksort (with median of 3 and insertion sort), random, 1000, 48, true
Introsort (STL hybrid), random, 1000, 90, true
Bubble Sort, sorted, 1000, 1, true
Selection Sort, sorted, 1000, 261, true
Insertion Sort, sorted, 1000, 1, true
Shell Sort, sorted, 1000, 14, true
Heap Sort, sorted, 1000, 81, true
Merge Sort, sorted, 1000, 50, true
Quicksort (Original), sorted, 1000, 276, true
Quicksort (with median of 3 and insertion sort), sorted, 1000, 6, true
Introsort (STL hybrid), sorted, 1000, 34, true
Bubble Sort, reverse, 1000, 1274, true
Selection Sort, reverse, 1000, 271, true
Insertion Sort, reverse, 1000, 467, true
Shell Sort, reverse, 1000, 31, true
Heap Sort, reverse, 1000, 85, true
Merge Sort, reverse, 1000, 56, true
Quicksort (Original), reverse, 1000, 308, true
Quicksort (with median of 3 and insertion sort), reverse, 1000, 11, true
Introsort (STL hybrid), reverse, 1000, 31, true
Bubble Sort, random, 1000, 1455, true
Selection Sort, random, 1000, 367, true
Insertion Sort, random, 1000, 272, true
Shell Sort, random, 1000, 84, true
Heap Sort, random, 1000, 92, true
Merge Sort, random, 1000, 95, true
Quicksort (Original), random, 1000, 58, true
Quicksort (with median of 3 and insertion sort), random, 1000, 48, true
Introsort (STL hybrid), random, 1000, 93, true
Bubble Sort, sorted, 1000, 0, true
Selection Sort, sorted, 1000, 261, true
Insertion Sort, sorted, 1000, 1, true
Shell Sort, sorted, 1000, 14, true
Heap Sort, sorted, 1000, 76, true
Merge Sort, sorted, 1000, 55, true
Quicksort (Original), sorted, 1000, 275, true
Quicksort (with median of 3 and insertion sort), sorted, 1000, 6, true
Introsort (STL hybrid), sorted, 1000, 35, true
Bubble Sort, reverse, 1000, 1272, true
Selection Sort, reverse, 1000, 274, true
Insertion Sort, reverse, 1000, 460, true
Shell Sort, reverse, 1000, 30, true
Heap Sort, reverse, 1000, 80, true
Merge Sort, reverse, 1000, 54, true
Quicksort (Original), reverse, 1000, 284, true
Quicksort (with median of 3 and insertion sort), reverse, 1000, 11, true
Introsort (STL hybrid), reverse, 1000, 37, true
Bubble Sort, random, 1000, 1465, true
Selection Sort, random, 1000, 332, true
Insertion Sort, random, 1000, 237, true
Shell Sort, random, 1000, 84, true
Heap Sort, random, 1000, 92, true
Merge Sort, random, 1000, 95, true
Quicksort (Original), random, 1000, 61, true
Quicksort (with median of 3 and insertion sort), random, 1000, 48, true
Introsort (STL hybrid), random, 1000, 90, true
Bubble Sort, sorted, 1000, 0, true
Selection Sort, sorted, 1000, 267, true
Insertion Sort, sorted, 1000, 1, true
Shell Sort, sorted, 1000, 14, true
Heap Sort, sorted, 1000, 77, true
Merge Sort, sorted, 1000, 51, true
Quicksort (Original), sorted, 1000, 277, true
